order_id,order_date,customer_id,product_name,category,price,quantity,return_flag,brand
1,2025-01-15,C1020,retinol night cream,moisturizers  ,29.97,3,no,Glow Recipe 
2,2025-05-15,C1214,,makeup removers_,23.62,3,no,CeraVe 
3,2025-01-26,C1343,makeup remover balm_,makeup removers,40.79,2,yes,Drunk_Elephant
4,2025-03-06,C1385,eye repair cream ,,32.67,4, n ,PAULA'S CHOICE
5,2025-01-24,C1252,vitamin c serum  ,serums-,20.37,4,no,La_Roche-Posay
6,2025-03-30,C1474,exfoliating scrub,exfoliators,20.34,4,yes,CeraVe
7,2024-12-22,C1782,daily sunscreen spf 50,sun protection  ,14.87,4, n ,Paula's_Choice
8,2024-12-04,C1957,retinol night cream_,moisturizers.,28.14,2,yes,Eucerin
9,2024-12-13,C1484,charcoal face mask ,masks  ,25.68,4,no,CeraVe 
10,2025-03-27,C1840,retinol night cream ,moisturizers,10.75,3,no,rhode
11,2025-05-08,C1955,vitamin c serum.,serums.,18.99,4,no,CETAPHIL
12,2025-05-16,C1775,retinol night cream_,moisturizers  ,22.08,3,no,
13,2025-01-01,C1565,eye repair cream.,eye care  ,33.23,2,no,Glow Recipe 
14,2025-04-08,C1476,hydrating facial cleanser ,cleansers,12.79,2,no,Paula's Choice_
15,2025-02-08,C1251,charcoal face mask  ,masks.,32.38,4,no,rhode
16,2025-02-01,C1724,tea tree oil toner ,toners.,26.71,1, n ,CeraVe 
17,2025-04-15,C1216,charcoal face mask-,masks_,10.21,1,no,Eucerin
18,2025-01-19,C1492,makeup remover balm-,makeup removers,17.8,4,no,Cetaphil 
19,2025-01-29,C1520,vitamin c serum  ,serums-,28.24,1,yes,Eucerin 
20,2024-12-25,C1647,tea tree oil toner_,,21.15,4,no,CeraVe
21,2025-02-07,C1489,retinol night cream  ,moisturizers_,35.31,1,no,Rhode 
22,2024-12-04,C1027,daily sunscreen spf 50-,sun protection ,34.31,3,no,CERAVE
23,2025-01-05,C1502,daily sunscreen spf 50_,sun protection ,28.31,2,yes,Glow Recipe 
24,2025-03-12,C1804,makeup remover balm_,makeup removers ,34.76,3,no,Glow Recipe 
25,2025-05-20,C1738,,makeup removers_,33.13,3,no,cetaphil
26,2025-04-03,C1642,daily sunscreen spf 50 ,sun protection,38.56,1, n ,
27,2025-01-21,C1794,tea tree oil toner,toners_,28.61,3,no,Neutrogena 
28,2025-05-15,C1857,makeup remover balm ,makeup removers.,40.38,1,no,CeraVe 
29,2025-05-09,C1899,makeup remover balm  ,makeup removers  ,25.87,4,no,CETAPHIL
30,2025-02-04,C1230,exfoliating scrub-,exfoliators_,22.01,2,no,
31,2025-01-01,C1838,hydrating facial cleanser_,cleansers_,39.78,4, n ,La Roche-Posay
32,2025-05-07,C1795,hydrating facial cleanser ,cleansers,19.82,3,no,The Ordinary.
33,2025-03-12,C1339,hyaluronic acid.,serums  ,34.15,4,no,
34,2025-02-08,C1639,charcoal face mask_,masks-,28.29,2,no,Neutrogena
35,2025-01-09,C1632,retinol night cream,moisturizers  ,17.98,1,no,
36,2025-05-22,C1258,hydrating facial cleanser  ,cleansers  ,21.72,4,no,DRUNK ELEPHANT
37,2025-02-02,C1224,exfoliating scrub,exfoliators ,25.05,1,no,Drunk Elephant
38,2025-05-29,C1663,vitamin c serum.,serums-,22.65,3,no,Drunk_Elephant
39,2025-04-16,C1691,makeup remover balm,,23.39,4,no,rhode
40,2025-05-19,C1441,retinol night cream ,moisturizers ,29.04,1,yes,EUCERIN
41,2025-05-31,C1698,hydrating facial cleanser ,cleansers-,,1,,Rhode
42,2025-03-27,C1219,tea tree oil toner.,toners-,24.73,1, n ,neutrogena
43,2025-05-09,C1729,tea tree oil toner ,toners ,23.08,2,no,Paula's_Choice
44,2025-02-27,C1246,makeup remover balm,makeup removers  ,28.02,4,no,Cetaphil 
45,2025-04-11,C1293,makeup remover balm ,makeup removers,36.43,3,no,PAULA'S CHOICE
46,2025-03-28,C1609,charcoal face mask,masks  ,32.52,4,no,Cetaphil 
47,2024-12-19,C1200,charcoal face mask ,masks_,30.87,4,no,the ordinary
48,2025-04-02,C1463,charcoal face mask_,masks_,46.9,4,no,Paula's Choice_
